message,date,objectName
Disable automation process,1699965401850,
Start Masking Process,1699965401851,
Masking object 'Account',1699965405232,Account
Finish masking for object 'Account',1699965438636,Account
Masking object 'Contact',1699965438636,Contact
Error: INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --,1699965441146,Contact
Finish masking for object 'Contact',1699965441747,Contact
Enable automation process,1699965441747,
Finish Masking Process,1699965441747,
