date,type,message
1693393536375,INFO,Retrieve metadata job has been started
1693393536379,INFO,Start getting describe of metadata
1693393538817,INFO,Describe metadata: 217 metadata types
1693393538821,INFO,Start getting list of metadata
1693393540581,INFO,Start retrieve
1693393561524,INFO,Retrieve completed
1693393561563,INFO,Retrieve metadata job has been completed
