date,type,message
1693387702584,INFO,Retrieve metadata job has been started
1693387702588,INFO,Start getting describe of metadata
1693387704876,INFO,Describe metadata: 217 metadata types
1693387704882,INFO,Start getting list of metadata
1693387706729,INFO,Start retrieve
1693387738978,INFO,Retrieve completed
1693387739105,INFO,Retrieve metadata job has been completed
