date,type,message
1693386335873,INFO,Retrieve metadata job has been started
1693386335876,INFO,Start getting describe of metadata
1693386338172,INFO,Describe metadata: 217 metadata types
1693386338178,INFO,Start getting list of metadata
1693386339051,INFO,Start retrieve
1693386360016,INFO,Retrieve completed
1693386360048,INFO,Retrieve metadata job has been completed
