message,date,objectName
Disable automation process,1699966113342,
Start Masking Process,1699966113343,
Masking object 'Account',1699966116431,Account
Finish masking for object 'Account',1699966158229,Account
Masking object 'Contact',1699966158230,Contact
Error: INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --,1699966168446,Contact
Finish masking for object 'Contact',1699966169004,Contact
Enable automation process,1699966169005,
Finish Masking Process,1699966169005,
