date,type,message
1693234733576,INFO,Retrieve metadata job has been started
1693234733581,INFO,Start getting describe of metadata
1693234736374,INFO,Describe metadata: 217 metadata types
1693234736375,INFO,Start getting list of metadata
1693234737352,INFO,Start retrieve
1693234779484,INFO,Retrieve completed
1693234779665,INFO,Retrieve metadata job has been completed
