message,date,objectName
Disable automation process,1699958397301,
Start Masking Process,1699958397301,
Masking object 'Account',1699958401831,Account
"Error: 
SELECT%20Id,Name,Test_Date__c,Website%20FROM%20Account
     ^
ERROR at Row:1:Column:6
line 1:6 no viable alternative at character '%'",1699958402420,Account
Masking object 'Contact',1699958402420,Contact
"Error: 
SELECT%20Id,Name%20FROM%20Contact
     ^
ERROR at Row:1:Column:6
line 1:6 no viable alternative at character '%'",1699958403000,Contact
Enable automation process,1699958403000,
Finish Masking Process,1699958403000,
