message,date,objectName
Disable automation process,1699959163442,
Start Masking Process,1699959163442,
Masking object 'Account',1699959166722,Account
"Error: 
SELECT%20Id,Name,Test_Date__c,Website%20FROM%20Account
     ^
ERROR at Row:1:Column:6
line 1:6 no viable alternative at character '%'",1699959167309,Account
Masking object 'Contact',1699959167309,Contact
"Error: 
SELECT%20Id,Name%20FROM%20Contact
     ^
ERROR at Row:1:Column:6
line 1:6 no viable alternative at character '%'",1699959167879,Contact
Enable automation process,1699959167880,
Finish Masking Process,1699959167880,
